numero di domande fatte; 1761;1511;1790;1739;1524;1666
numero di risposte corrette; 1548;1004;951;1512;996;920
numero di risposte negative; 213;507;839;227;528;746
frequenza delle risposte corrette; 0.879045996592845;0.6644606221045665;0.5312849162011173;0.8694652098907418;0.6535433070866141;0.5522208883553421
frequenza delle risposte negative; 0.12095400340715502;0.3355393778954335;0.46871508379888266;0.1305347901092582;0.3464566929133858;0.4477791116446579


numero di domande fatte; 1776;1488;1794;1774;1512;1683
numero di risposte corrette; 1576;965;972;1559;962;929
numero di risposte negative; 200;523;822;215;550;754
frequenza delle risposte corrette; 0.8873873873873874;0.6485215053763441;0.5418060200668896;0.87880496054115;0.6362433862433863;0.5519904931669638
frequenza delle risposte negative; 0.11261261261261261;0.35147849462365593;0.45819397993311034;0.12119503945885006;0.3637566137566138;0.44800950683303625


numero di domande fatte; 1805;1499;1776;1769;1489;1654
numero di risposte corrette; 1605;960;958;1566;966;919
numero di risposte negative; 200;539;818;203;523;735
frequenza delle risposte corrette; 0.889196675900277;0.6404269513008672;0.5394144144144144;0.8852459016393442;0.648757555406313;0.5556227327690447
frequenza delle risposte negative; 0.11080332409972299;0.35957304869913276;0.4605855855855856;0.11475409836065574;0.35124244459368703;0.4443772672309553

numero di domande fatte; 1778;1487;1797;1765;1504;1668
numero di risposte corrette; 1561;959;936;1532;957;902
numero di risposte negative; 217;528;861;233;547;766
frequenza delle risposte corrette; 0.8779527559055118;0.6449226630800269;0.5208681135225376;0.8679886685552408;0.6363031914893617;0.5407673860911271
frequenza delle risposte negative; 0.1220472440944882;0.3550773369199731;0.4791318864774624;0.1320113314447592;0.3636968085106383;0.4592326139088729


numero di domande fatte; 1787;1513;1796;1796;1522;1677
numero di risposte corrette; 1597;970;946;1581;970;909
numero di risposte negative; 190;543;850;215;552;768
frequenza delle risposte corrette; 0.893676552881925;0.6411103767349636;0.5267260579064588;0.8802895322939867;0.6373193166885677;0.5420393559928444
frequenza delle risposte negative; 0.10632344711807498;0.3588896232650364;0.4732739420935412;0.11971046770601336;0.36268068331143233;0.45796064400715564
